Product Name,Category,Color,Size,Height,Width,Thickness,Pattern,Quantity,Unit,Price,Location,Status,Description
"Premium Handwoven Carpet","Carpet","Red","6x9",6,9,0.5,"Traditional Persian","25","pieces",15000,"Warehouse A","in-stock","Handwoven premium quality carpet with traditional Persian design"
"Silk Wall Hanging","Wall Hanging","Blue","4x6",4,6,0.3,"Floral","15","pieces",8500,"Warehouse B","in-stock","Elegant silk wall hanging with intricate floral patterns"
"Woolen Floor Mat","Floor Mat","Green","3x5",3,5,0.4,"Geometric","40","pieces",3200,"Warehouse A","in-stock","Soft woolen floor mat with geometric design"
"Jute Door Mat","Door Mat","Brown","2x3",2,3,0.6,"Plain","60","pieces",1200,"Warehouse C","in-stock","Durable jute door mat for entrance"
"Linen Table Runner","Table Runner","White","1x6",1,6,0.2,"Striped","30","pieces",1800,"Warehouse B","in-stock","Elegant linen table runner with striped pattern"
"Bamboo Placemat Set","Placemat","Natural","12x18",12,18,0.1,"Plain","100","sets",800,"Warehouse C","in-stock","Set of 4 eco-friendly bamboo placemats"
"Viscose Curtain","Curtain","Purple","3x7",3,7,0.1,"Damask","20","pieces",4500,"Warehouse A","in-stock","Luxurious viscose curtain with damask pattern"
"Acrylic Throw Pillow","Pillow","Yellow","18x18",18,18,4,"Embroidered","35","pieces",2200,"Warehouse B","in-stock","Soft acrylic throw pillow with embroidery"
"Marble Coaster Set","Coaster","Gray","4x4",4,4,0.3,"Marble","80","sets",600,"Warehouse C","in-stock","Set of 6 marble coasters with natural pattern"
"Felt Wall Art","Wall Art","Orange","2x3",2,3,0.2,"Abstract","25","pieces",2800,"Warehouse A","in-stock","Modern felt wall art with abstract design"
