Product Name,Material Name,Material Type,Base Quantity,Total Quantity,Unit,Cost Per Unit,Material Type Category
"Premium Handwoven Carpet","Premium Cotton Yarn","raw_material",2.5,2.5,kg,450,"Yarn"
"Premium Handwoven Carpet","Pure Silk Fabric","raw_material",1.2,1.2,meters,1200,"Fabric"
"Premium Handwoven Carpet","Reactive Dye Blue","raw_material",0.5,0.5,liters,350,"Dye"
"Premium Handwoven Carpet","Backing Cloth Heavy Duty","raw_material",1.0,1.0,sqm,85,"Fabric"
"Silk Wall Hanging","Pure Silk Fabric","raw_material",1.5,1.5,meters,1200,"Fabric"
"Silk Wall Hanging","Reactive Dye Blue","raw_material",0.3,0.3,liters,350,"Dye"
"Silk Wall Hanging","Adhesive Glue Industrial","raw_material",0.2,0.2,kg,320,"Adhesive"
"Woolen Floor Mat","Wool Fiber Natural","raw_material",1.8,1.8,kg,650,"Fiber"
"Woolen Floor Mat","Chemical Coating","raw_material",0.4,0.4,liters,450,"Coating"
"Woolen Floor Mat","Backing Cloth Heavy Duty","raw_material",0.8,0.8,sqm,85,"Fabric"
"Jute Door Mat","Jute Fiber Raw","raw_material",2.0,2.0,kg,180,"Fiber"
"Jute Door Mat","Adhesive Glue Industrial","raw_material",0.3,0.3,kg,320,"Adhesive"
"Linen Table Runner","Linen Thread Fine","raw_material",0.8,0.8,kg,420,"Thread"
"Linen Table Runner","Reactive Dye Blue","raw_material",0.2,0.2,liters,350,"Dye"
"Bamboo Placemat Set","Bamboo Fiber Natural","raw_material",1.2,1.2,kg,520,"Fiber"
"Bamboo Placemat Set","Chemical Coating","raw_material",0.3,0.3,liters,450,"Coating"
"Viscose Curtain","Viscose Yarn Soft","raw_material",2.2,2.2,kg,380,"Yarn"
"Viscose Curtain","Reactive Dye Blue","raw_material",0.6,0.6,liters,350,"Dye"
"Acrylic Throw Pillow","Acrylic Fiber","raw_material",1.5,1.5,kg,290,"Fiber"
"Acrylic Throw Pillow","Felt Underlay Premium","raw_material",0.5,0.5,sqm,120,"Underlay"
"Marble Coaster Set","Marble Powder Fine","raw_material",0.8,0.8,kg,35,"Filler"
"Marble Coaster Set","Adhesive Glue Industrial","raw_material",0.1,0.1,kg,320,"Adhesive"
"Felt Wall Art","Felt Underlay Premium","raw_material",1.0,1.0,sqm,120,"Underlay"
"Felt Wall Art","Reactive Dye Blue","raw_material",0.4,0.4,liters,350,"Dye"
